num :,element :,name :,str3 :,tc :,lata :,latb :,latc :,refno :,ma1 :,ma2 :,mb1 :,mb2 :,mc1 :,mc2 :,md1 :,md2 :,me1 :,me2 :,mf1 :,mf2 :,mg1 :,mg2 :,mh1 :,mh2 :,mi1 :,mi2 :,mo1 :,mo2 :,oz :,composition :
156088,La1Fe1As0.2P0.8F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,10.87,3.9821,,8.5512,PRB090064504,La,1.0,Fe,1.0,As,0.2,P,0.8,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.2P0.8F0.05O0.95
156089,La1Fe1As0.4P0.6F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,24.24,3.9995,,8.5953,PRB090064504,La,1.0,Fe,1.0,As,0.4,P,0.6,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.4P0.6F0.05O0.95
156090,La1Fe1As0.5P0.5F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,21.2,4.006,,8.607000000000001,PRB090064504,La,1.0,Fe,1.0,As,0.5,P,0.5,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.5P0.5F0.05O0.95
156091,La1Fe1As0.6P0.4F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,19.08,4.0133,,8.6229,PRB090064504,La,1.0,Fe,1.0,As,0.6,P,0.4,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.6P0.4F0.05O0.95
156092,La1Fe1As0.7P0.3F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,15.75,4.0212,,8.6443,PRB090064504,La,1.0,Fe,1.0,As,0.7,P,0.3,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.7P0.3F0.05O0.95
156093,La1Fe1As0.75P0.25F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,22.38,4.0232,,8.6767,PRB090064504,La,1.0,Fe,1.0,As,0.75,P,0.25,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.75P0.25F0.05O0.95
156094,La1Fe1As0.8P0.2F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,25.61,4.0252,,8.6971,PRB090064504,La,1.0,Fe,1.0,As,0.8,P,0.2,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.8P0.2F0.05O0.95
156095,La1Fe1As0.9P0.1F0.05O0.95,"LaFe(As,P)(O,F)",oxypnictide,23.6,4.0312,,8.7088,PRB090064504,La,1.0,Fe,1.0,As,0.9,P,0.1,F,0.05,,,,,,,,,O,0.95,,La1.0Fe1.0As0.9P0.1F0.05O0.95
156096,La1Fe1As1F0.05O0.95,"LaFeAs(O,F)",oxypnictide,27.84,4.0386,,8.7399,PRB090064504,La,1.0,Fe,1.0,As,1.0,F,0.05,,,,,,,,,,,O,0.95,,La1.0Fe1.0As1.0F0.05O0.95
156097,La1Fe1As0.4P0.6F0.1O0.9,"LaFe(As,P)(O,F)",oxypnictide,21.14,,,,PRB090064504,La,1.0,Fe,1.0,As,0.4,P,0.6,F,0.1,,,,,,,,,O,0.9,,La1.0Fe1.0As0.4P0.6F0.1O0.9
