,col_id :,str3 :,lata :,latb :,latc :,cu-o_a :,cu-o_p :,d_la :
56,87025.0,Tl1223,3.856,3.856,15.8822,2.7523,1.93025,
57,79134.0,Tl1223,3.81517,3.81517,15.29136,2.3149,1.9092500000000001,
58,162933.0,Tl1223,3.84659,3.84659,15.8741,2.7636,1.9236499999999999,
59,162936.0,Tl1223,3.85344,3.85344,15.9035,2.7751,1.9273,
60,83149.0,Tl1223,3.81863,3.81863,15.3511,2.4561,1.91065,
61,72257.0,Tl1223,3.8316,3.8316,15.5926,2.5447,1.92095,
62,83148.0,Tl1223,3.81445,3.81445,15.288,2.4093,1.9085,
63,71377.0,Tl1223,3.8478,3.8478,15.86,2.7174,1.92435,
64,71374.0,Tl1223,3.8536,3.8536,15.884,2.7628,1.9271500000000001,
65,83151.0,Tl1223,3.81638,3.81638,15.3195,2.4465,1.90865,
66,71376.0,Tl1223,3.85,3.85,15.876,2.682,1.9254,
67,65329.0,Tl1223,3.8532,3.8532,15.9223,2.7625,1.92755,
68,87154.0,Tl1223,3.8145,3.8145,15.288,2.4093,1.9085,
69,81153.0,Tl1223,3.8211,3.8211,15.4235,2.3829,1.9121000000000001,
70,87362.0,Tl1223,3.86,3.86,15.8767,2.8133,1.93155,
71,71371.0,Tl1223,3.8498,3.8498,15.889,2.7858,1.9255,
72,83147.0,Tl1223,3.81265,3.81265,15.263,2.2925,1.9084500000000002,
73,83175.0,Tl1223,3.81516,3.81516,15.2798,2.3891,1.90815,
74,202689.0,Tl1223,3.853,3.853,15.913,2.7274,1.9267500000000002,
75,87155.0,Tl1223,3.8186,3.8186,15.3511,2.4561,1.91065,
76,87026.0,Tl1223,3.8549,3.8549,15.9022,2.8449,1.92865,
77,79045.0,Tl1223,3.8489,3.8489,15.816,2.8532,1.9245,
78,87156.0,Tl1223,3.8226,3.8226,15.4182,2.5039,1.9125999999999999,
79,87363.0,Tl1223,3.8507,3.8507,15.8457,2.5701,1.9261,
80,71370.0,Tl1223,3.8547,3.8547,15.918,2.7866,1.9278,
81,71373.0,Tl1223,3.8505,3.8505,15.881,2.7337,1.9255499999999999,
82,162935.0,Tl1223,3.85344,3.85344,15.9036,2.7751,1.9273,
83,71375.0,Tl1223,3.8503,3.8503,15.875,2.786,1.9255499999999999,
84,69944.0,Y123,3.8608,3.8608,11.6653,2.3622,1.9304,
85,83069.0,Y123,3.8164,3.8834,11.6785,2.2913,1.93485,
86,82691.0,Y123,3.8141,3.8806,11.6702,2.2878,1.9269,
87,67208.0,Y123,3.8301,3.8827,11.716,2.3748,1.9304,
88,63692.0,Y123,3.8592,3.8592,11.7811,2.375,1.9296,
89,67064.0,Y123,3.8617,3.8617,11.7799,2.4396,1.9308,
